United States Billion-Dollar Disasters By Year (CPI-Adjusted),,,,,,,,,,,,,,,,
Cost values are in billions of dollars,,,,,,,,,,,,,,,,
Year,Drought Count,Drought Cost,Flooding Count,Flooding Cost,Freeze Count,Freeze Cost,Severe Storm Count,Severe Storm Cost,Tropical Cyclone Count,Tropical Cyclone Cost,Wildfire Count,Wildfire Cost,Winter Storm Count,Winter Storm Cost,All Disasters Count,All Disasters Cost
1980,1,33.5,1,2.4,0,0,0,0,1,2,0,0,0,0,3,37.9
1981,0,0,0,0,1,1.7,1,1.2,0,0,0,0,0,0,2,2.9
1982,0,0,0,0,0,0,2,2.6,0,0,0,0,1,1.8,3,4.4
1983,1,7.9,2,8.3,1,5.3,0,0,1,8,0,0,0,0,5,29.5
1984,0,0,0,0,0,0,2,2.6,0,0,0,0,0,0,2,2.6
1985,0,0,1,3.3,1,3,0,0,3,9,0,0,1,2.1,6,17.4
1986,1,4.3,0,0,0,0,1,1.3,0,0,0,0,0,0,2,5.6
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,45,0,0,0,0,0,0,0,0,0,0,0,0,1,45
1989,1,6.5,0,0,1,4.3,1,1.2,1,19.3,0,0,1,1.5,5,32.8
1990,0,0,1,2.1,1,6.9,1,1.7,0,0,0,0,0,0,3,10.7
1991,1,5.8,0,0,0,0,1,1.2,1,2.9,1,6.4,0,0,4,16.3
1992,0,0,0,0,0,0,4,5.9,2,56.6,0,0,1,4.7,7,67.2
1993,1,2.3,1,38.1,0,0,1,1.2,0,0,1,2.5,1,10.1,5,54.2
1994,0,0,1,1.8,0,0,1,1.8,1,1.8,1,1.3,2,7.2,6,13.9
1995,1,1.7,1,4.3,0,0,1,9.5,3,13.2,0,0,0,0,6,28.7
1996,1,3,1,1.7,0,0,0,0,1,8.5,0,0,1,5.1,4,18.3
1997,0,0,2,10.9,0,0,1,1.6,0,0,0,0,0,0,3,12.5
1998,1,5.7,1,1.5,1,4,3,6,3,12.3,0,0,1,2.3,10,31.8
1999,1,3.9,0,0,0,0,1,3.2,1,10.3,0,0,2,3,5,20.4
2000,1,7.7,1,1.4,0,0,0,0,0,0,1,1.7,1,1.1,4,11.9
2001,0,0,0,0,0,0,1,4.6,1,12.7,0,0,0,0,2,17.3
2002,1,13.2,0,0,0,0,2,4.1,2,3.3,1,1.9,0,0,6,22.5
2003,1,7.2,0,0,0,0,4,11.4,1,7.8,1,5.6,0,0,7,32
2004,0,0,0,0,0,0,1,1.4,4,75.9,0,0,0,0,5,77.3
2005,1,2,0,0,0,0,1,1.2,4,224.4,0,0,0,0,6,227.6
2006,1,7.9,1,2,0,0,4,8.3,0,0,1,1.9,0,0,7,20.1
2007,1,4.6,0,0,2,4.4,1,3.2,0,0,1,3.5,0,0,5,15.7
2008,1,8.6,1,12.2,0,0,6,11.1,3,45.9,1,1.5,0,0,12,79.3
2009,1,4.3,0,0,0,0,6,9.8,0,0,1,1.2,0,0,8,15.3
2010,0,0,2,4.9,0,0,4,10.8,0,0,0,0,0,0,6,15.7
2011,1,14.1,2,5.9,0,0,9,36.9,2,18.9,1,2.1,1,2.1,16,80
2012,1,34.5,0,0,0,0,7,18.8,2,78,1,2,0,0,11,133.3
2013,1,11.8,2,2.9,0,0,6,11,0,0,0,0,0,0,9,25.7
2014,1,4.4,1,1.1,0,0,5,11.3,0,0,0,0,1,2.4,8,19.2
2015,1,5,2,5,0,0,5,8,0,0,1,3.4,1,3.3,10,24.7
2016,1,3.8,4,17.5,0,0,8,15.9,1,11,1,2.6,0,0,15,50.8
2017,1,2.6,2,3.4,1,1.1,8,17.5,3,278.3,1,18.9,0,0,16,321.8
2018,1,3.1,0,0,0,0,8,12.1,2,50.4,1,24.7,2,3.4,14,93.7
2019,0,0,3,20.3,0,0,8,14,2,6.7,1,4.6,0,0,14,45.6
2020,1,4.5,0,0,0,0,13,33.9,7,40.1,1,16.5,0,0,22,95
